lat,lng,sine_time,cose_time,org_lat,org_lng,org_sine_time,org_cose_time
14,10,0.5,0.6,11,12,0.6,0.8
12,11,0.1,0.2,11,12,0.6,0.8
13,12,0.3,0.1,11,12,0.6,0.8
15,17,0.9,0.1,11,12,0.6,0.8
11,12,0.9,0.5,11,12,0.6,0.8
14,12,0.1,0.2,12,13,0.1,0.2
13,11,0.6,0.2,12,13,0.1,0.2
16,12,0.5,0.7,12,13,0.1,0.2
14,10,0.5,0.6,12,13,0.1,0.2
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
14,10,0.5,0.6,11,12,0.6,0.8
12,11,0.1,0.2,11,12,0.6,0.8
13,12,0.3,0.1,11,12,0.6,0.8
15,17,0.9,0.1,11,12,0.6,0.8
11,12,0.9,0.5,11,12,0.6,0.8
14,12,0.1,0.2,12,13,0.1,0.2
13,11,0.6,0.2,12,13,0.1,0.2
16,12,0.5,0.7,12,13,0.1,0.2
14,10,0.5,0.6,12,13,0.1,0.2
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
